Id,TYPEOP,0,1,2,3,4,5,6,7,DETAILS
1,CGGL_NEW,YYZY,YYJL,CWJL,YYZJ,CWZJ,YXFZ,CWFZ,ZJL0,场馆管理_增
2,CGGL_DEL,YYZY,YYJL,CWJL,YYZJ,CWZJ,YXFZ,CWFZ,ZJL0,场馆管理_删
3,CGGL_MOD,YYZY,YYJL,CWJL,YYZJ,CWZJ,YXFZ,CWFZ,ZJL0,场馆管理_改
4,CGGL_QRY,,,,,,,,,场馆管理_查
5,SHGL_NEW,YYZY,YYJL,CWJL,YYZJ,CWZJ,YXFZ,CWFZ,ZJL0,商户管理_增
6,SHGL_DEL,YYZY,YYJL,CWJL,YYZJ,CWZJ,YXFZ,CWFZ,ZJL0,商户管理_删
7,SHGL_MOD,YYZY,YYJL,CWJL,YYZJ,CWZJ,YXFZ,CWFZ,ZJL0,商户管理_改
8,SHGL_QRY,,,,,,,,,商户管理_查
9,ZJGL_NEW,,,,,,,,,闸机管理_增
10,ZJGL_DEL,,,,,,,,,闸机管理_删
11,ZJGL_MOD,,,,,,,,,闸机管理_改
12,ZJGL_QRY,,,,,,,,,闸机管理_查
13,ZDGL_NEW,YYZY,YYJL,CCJL,YYZJ,CWZJ,,,,终端管理_增
14,ZDGL_DEL,YYZY,YYJL,CCJL,YYZJ,CWZJ,,,,终端管理_删
15,ZDGL_MOD,YYZY,YYJL,CCJL,YYZJ,CWZJ,,,,终端管理_改
16,ZDGL_QRY,,,,,,,,,终端管理_查
17,PWGL_NEW,SCZY,SCJL,CWJL,SCZJ,CWZJ,SCFZ,CWFZ,ZJL0,票务管理_增
18,PWGL_DEL,SCZY,SCJL,CWJL,SCZJ,CWZJ,SCFZ,CWFZ,ZJL0,票务管理_删
19,PWGL_MOD,SCZY,SCJL,CWJL,SCZJ,CWZJ,SCFZ,CWFZ,ZJL0,票务管理_改
20,PWGL_QRY,,,,,,,,,票务管理_查
21,FSMP_SALE,,,,,,,,,非实名票_售
22,TEAM_SALE,,,,,,,,,团队售票_售
23,FSMP_GET,,,,,,,,,非实名票_取
24,FSMP_QRY,,,,,,,,,非实名票_查
25,FSMP_RET,,,,,,,,,非实名票_退
26,GGZP_NEW,SCZY,SCJL,CWJL,SCZJ,CWZJ,,,,公关赠票_赠
27,GGZP_DEL,SCZY,SCJL,CWJL,SCZJ,CWZJ,,,,公关赠票_删
28,GGZP_MOD,SCZY,SCJL,CWJL,SCZJ,CWZJ,,,,公关赠票_改
29,GGZP_QRY,,,,,,,,,公关赠票_查
30,YHQP_NEW,SCZY,SCJL,CWJL,SCZJ,CWZJ,SCFZ,CWFZ,ZJL0,优惠券票_赠
31,YHQP_DEL,SCZY,SCJL,CWJL,SCZJ,CWZJ,SCFZ,CWFZ,ZJL0,优惠券票_删
32,YHQP_MOD,SCZY,SCJL,CWJL,SCZJ,CWZJ,SCFZ,CWFZ,ZJL0,优惠券票_改
33,YHQP_QRY,,,,,,,,,优惠券票_查
34,VIPU_NEW,,,,,,,,,VIP用户_增
35,VIPU_DEL,,,,,,,,,VIP用户_删
36,VIPU_MOD,,,,,,,,,VIP用户_改
37,VIPU_QRY,,,,,,,,,VIP用户_查
38,VIPC_NEW,SCZY,SCJL,CWJL,SCZJ,CWZJ,SCFZ,CWFZ,ZJL0,VIP卡_赠
39,VIPC_DEL,SCZY,SCJL,CWJL,SCZJ,CWZJ,SCFZ,CWFZ,ZJL0,VIP卡_删
40,VIPC_MOD,SCZY,SCJL,CWJL,SCZJ,CWZJ,SCFZ,CWFZ,ZJL0,VIP卡_改
41,VIPC_QRY,,,,,,,,,VIP卡_查
42,QDBB_QRY,,,,,,,,,渠道报表_查
43,QDBB_DWL,,,,,,,,,渠道报表_下
44,TPBB_QRY,,,,,,,,,退票报表_查
45,TPBB_DWL,,,,,,,,,退票报表_下
46,JJBB_QRY,,,,,,,,,交接报表_查
47,JJBB_DWL,,,,,,,,,交接报表_下
48,SPGL_NEW,SCZY,SCJL,CWJL,SCZJ,CWZJ,SCFZ,CWFZ,,商品管理_增
49,SPGL_DEL,SCZY,SCJL,CWJL,SCZJ,CWZJ,SCFZ,CWFZ,,商品管理_删
50,SPGL_MOD,SCZY,SCJL,CWJL,SCZJ,CWZJ,SCFZ,CWFZ,,商品管理_改
51,SPGL_QRY,,,,,,,,,商品管理_查
52,YGGL_NEW,,,,,,,,,员工管理_增
53,YGGL_DEL,,,,,,,,,员工管理_删
54,YGGL_QRY,,,,,,,,,员工管理_查
55,JSGL_NEW,,,,,,,,,角色管理_增
56,JSGL_DEL,,,,,,,,,角色管理_删
57,JSGL_MOD,,,,,,,,,角色管理_改
58,JSGL_QRY,,,,,,,,,角色管理_查
59,BMGL_NEW,,,,,,,,,部门管理_增
60,BMGL_DEL,,,,,,,,,部门管理_删
61,BMGL_MOD,,,,,,,,,部门管理_改
62,BMGL_QRY,,,,,,,,,部门管理_查
63,XTRZ_QRY,,,,,,,,,系统日志_查
