Id,TYPEOP,CJGL,SYY0,YYZY,YYJL,YYJZ,YYFZ,SCZY,SCJL,SCZJ,SCFZ,CWZY,CWJL,CWZJ,CWFZ,RSZY,RSJL,ZJL0,DETAILS
1,CGGL_NEW,TRUE,,TRUE,TRUE,TRUE,,,,,,,,,,,,,场馆管理_增
2,CGGL_DEL,TRUE,,TRUE,,,,,,,,,,,,,,,场馆管理_删
3,CGGL_MOD,TRUE,,TRUE,,,,,,,,,,,,,,,场馆管理_改
4,CGGL_QRY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,场馆管理_查
5,SHGL_NEW,TRUE,,TRUE,TRUE,TRUE,,,,,,,,,,,,,商户管理_增
6,SHGL_DEL,TRUE,,TRUE,TRUE,TRUE,,,,,,,,,,,,,商户管理_删
7,SHGL_MOD,TRUE,,TRUE,TRUE,TRUE,,,,,,,,,,,,,商户管理_改
8,SHGL_QRY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,商户管理_查
9,ZJGL_NEW,TRUE,,,,,,,,,,,,,,,,,闸机管理_增
10,ZJGL_DEL,TRUE,,,,,,,,,,,,,,,,,闸机管理_删
11,ZJGL_MOD,TRUE,,,,,,,,,,,,,,,,,闸机管理_改
12,ZJGL_QRY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,闸机管理_查
13,ZDGL_NEW,TRUE,,,,,,,,,,,,,,,,,终端管理_增
14,ZDGL_DEL,TRUE,,,,,,,,,,,,,,,,,终端管理_删
15,ZDGL_MOD,TRUE,,,,,,,,,,,,,,,,,终端管理_改
16,ZDGL_QRY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,终端管理_查
17,PWGL_NEW,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,,,,,,,票务管理_增
18,PWGL_DEL,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,,,,,,,票务管理_删
19,PWGL_MOD,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,,,,,,,票务管理_改
20,PWGL_QRY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,票务管理_查
21,FSMP_SALE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,非实名票_售
22,TEAM_SALE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,团队售票_售
23,FSMP_GET,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,非实名票_取
24,FSMP_QRY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,非实名票_查
25,FSMP_RET,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,非实名票_退
26,GGZP_NEW,TRUE,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,公关赠票_赠
27,GGZP_DEL,TRUE,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,公关赠票_删
28,GGZP_MOD,TRUE,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,公关赠票_改
29,GGZP_QRY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,公关赠票_查
30,YHQP_NEW,TRUE,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,优惠券票_赠
31,YHQP_DEL,TRUE,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,优惠券票_删
32,YHQP_MOD,TRUE,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,优惠券票_改
33,YHQP_QRY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,优惠券票_查
34,VIPU_NEW,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,VIP用户_增
35,VIPU_DEL,TRUE,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,VIP用户_删
36,VIPU_MOD,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,VIP用户_改
